concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2718296,"Injection, ceftriaxone sodium, per 250 mg",Drug,HCPCS,HCPCS,,J0696,19900101,20991231,
2718298,"Injection, cefotaxime sodium, per gm",Drug,HCPCS,HCPCS,,J0698,19910101,20991231,
2718299,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Drug,HCPCS,HCPCS,,J0702,19950101,20991231,
2718300,"Injection, betamethasone sodium phosphate, per 4 mg (Deprecated)",Drug,HCPCS,HCPCS,,J0704,19700101,20141111,
2718311,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Drug,HCPCS,HCPCS,,J0744,20020101,20991231,
2718315,"Injection, prochlorperazine, up to 10 mg",Drug,HCPCS,HCPCS,,J0780,19840101,20991231,
2718321,"Injection, daptomycin, 1 mg",Drug,HCPCS,HCPCS,,J0878,20050101,20991231,
2718323,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",Drug,HCPCS,HCPCS,,J0881,20060101,20991231,
2718324,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)",Drug,HCPCS,HCPCS,,J0882,20060101,20991231,
2718325,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Drug,HCPCS,HCPCS,,J0885,20060101,20991231,
2718327,"Injection, decitabine, 1 mg",Drug,HCPCS,HCPCS,,J0894,20070101,20991231,
2718334,"Injection, methylprednisolone acetate, 20 mg",Drug,HCPCS,HCPCS,,J1020,19820101,20991231,
2718335,"Injection, methylprednisolone acetate, 40 mg",Drug,HCPCS,HCPCS,,J1030,19820101,20991231,
2718336,"Injection, methylprednisolone acetate, 80 mg",Drug,HCPCS,HCPCS,,J1040,19820101,20991231,
2718342,"Injection, testosterone cypionate, up to 100 mg (Deprecated)",Drug,HCPCS,HCPCS,,J1070,19820101,20141231,
2718343,"Injection, testosterone cypionate, 1 cc, 200 mg (Deprecated)",Drug,HCPCS,HCPCS,,J1080,19820101,20141231,
2718345,"Injection, dexamethasone acetate, 1 mg",Drug,HCPCS,HCPCS,,J1094,20030101,20991231,
2718347,"Injection, dexamethasone sodium phosphate, 1 mg",Drug,HCPCS,HCPCS,,J1100,19820101,20991231,
2718349,"Injection, acetazolamide sodium, up to 500 mg",Drug,HCPCS,HCPCS,,J1120,19820101,20991231,
2718350,"Injection, digoxin, up to 0.5 mg",Drug,HCPCS,HCPCS,,J1160,19820101,20991231,
2718353,"Injection, hydromorphone, up to 4 mg",Drug,HCPCS,HCPCS,,J1170,19820101,20991231,
2718356,"Injection, diphenhydramine hcl, up to 50 mg",Drug,HCPCS,HCPCS,,J1200,19820101,20991231,
2718359,"Injection, methadone hcl, up to 10 mg",Drug,HCPCS,HCPCS,,J1230,19820101,20991231,
2718361,"Injection, dipyridamole, per 10 mg",Drug,HCPCS,HCPCS,,J1245,19930101,20991231,
2718362,"Injection, dobutamine hydrochloride, per 250 mg",Drug,HCPCS,HCPCS,,J1250,19960101,20991231,
2718363,"Injection, dolasetron mesylate, 10 mg",Drug,HCPCS,HCPCS,,J1260,19990101,20991231,
2718365,"Injection, doripenem, 10 mg",Drug,HCPCS,HCPCS,,J1267,20090101,20991231,
2718366,"Injection, doxercalciferol, 1 mcg",Drug,HCPCS,HCPCS,,J1270,20020101,20991231,
2718378,"Injection, estrogen conjugated, per 25 mg",Drug,HCPCS,HCPCS,,J1410,19820101,20991231,
2718383,"Injection, filgrastim (g-csf), 300 mcg (Deprecated)",Drug,HCPCS,HCPCS,,J1440,20120101,20131231,
2718384,"Injection, filgrastim (g-csf), 480 mcg (Deprecated)",Drug,HCPCS,HCPCS,,J1441,20120101,20131231,
2718388,"Injection, fosaprepitant, 1 mg",Drug,HCPCS,HCPCS,,J1453,20090101,20991231,
2718404,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Drug,HCPCS,HCPCS,,J1561,20080101,20991231,
2718409,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Drug,HCPCS,HCPCS,,J1566,20060101,20991231,
2718412,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Drug,HCPCS,HCPCS,,J1569,20080101,20991231,
2718417,"Injection, garamycin, gentamicin, up to 80 mg",Drug,HCPCS,HCPCS,,J1580,19840101,20991231,
2718421,"Injection, glucagon hydrochloride, per 1 mg",Drug,HCPCS,HCPCS,,J1610,19860101,20991231,
2718423,"Injection, granisetron hydrochloride, 100 mcg",Drug,HCPCS,HCPCS,,J1626,19980101,20991231,
2718424,"Injection, haloperidol, up to 5 mg",Drug,HCPCS,HCPCS,,J1630,19860101,20991231,
2718425,"Injection, haloperidol decanoate, per 50 mg",Drug,HCPCS,HCPCS,,J1631,19890101,20991231,
2718427,"Injection, heparin sodium, (heparin lock flush), per 10 units",Drug,HCPCS,HCPCS,,J1642,19950101,20991231,
2718428,"Injection, heparin sodium, per 1000 units",Drug,HCPCS,HCPCS,,J1644,19950101,20991231,
2718430,"Injection, enoxaparin sodium, 10 mg",Drug,HCPCS,HCPCS,,J1650,19960101,20991231,
2718432,"Injection, tinzaparin sodium, 1000 iu",Drug,HCPCS,HCPCS,,J1655,20020101,20991231,
2718433,"Injection, tetanus immune globulin, human, up to 250 units",Drug,HCPCS,HCPCS,,J1670,19860101,20991231,
2718438,"Injection, hydrocortisone sodium succinate, up to 100 mg",Drug,HCPCS,HCPCS,,J1720,19820101,20991231,
2718441,"Injection, ibandronate sodium, 1 mg",Drug,HCPCS,HCPCS,,J1740,20070101,20991231,
2718445,"Injection, infliximab, excludes biosimilar, 10 mg",Drug,HCPCS,HCPCS,,J1745,20000101,20991231,
2718446,"Injection, iron dextran, 50 mg",Drug,HCPCS,HCPCS,,J1750,20051231,20991231,
2718450,"Injection, iron sucrose, 1 mg",Drug,HCPCS,HCPCS,,J1756,20030101,20991231,
2718454,"Injection, imiglucerase, per unit (Deprecated)",Drug,HCPCS,HCPCS,,J1785,19700101,20141111,
2718458,"Injection, insulin, per 5 units",Procedure,HCPCS,HCPCS,,J1815,20030101,20991231,
2718466,"Injection, ketorolac tromethamine, per 15 mg",Drug,HCPCS,HCPCS,,J1885,19930101,20991231,
2718471,"Injection, furosemide, up to 20 mg",Drug,HCPCS,HCPCS,,J1940,19820101,20991231,
2718475,"Injection, levocarnitine, per 1 gm",Drug,HCPCS,HCPCS,,J1955,19960101,20991231,
2718476,"Injection, levofloxacin, 250 mg",Drug,HCPCS,HCPCS,,J1956,19990101,20991231,
2718483,"Injection, lidocaine hcl for intravenous infusion, 10 mg",Drug,HCPCS,HCPCS,,J2001,20040101,20991231,
2718484,"Injection, lincomycin hcl, up to 300 mg",Drug,HCPCS,HCPCS,,J2010,19820101,20991231,
2718486,"Injection, lorazepam, 2 mg",Drug,HCPCS,HCPCS,,J2060,19820101,20991231,
2718487,"Injection, mannitol, 25% in 50 ml",Drug,HCPCS,HCPCS,,J2150,19860101,20991231,
2718489,"Injection, meperidine hydrochloride, per 100 mg",Drug,HCPCS,HCPCS,,J2175,19860101,20991231,
2718495,"Injection, midazolam hydrochloride, per 1 mg",Drug,HCPCS,HCPCS,,J2250,19960101,20991231,
2718496,"Injection, milrinone lactate, 5 mg",Drug,HCPCS,HCPCS,,J2260,19860101,20991231,
2718497,"Injection, morphine sulfate, up to 10 mg",Drug,HCPCS,HCPCS,,J2270,19820101,20991231,
2718499,"Injection, morphine sulfate (preservative-free sterile solution), per 10 mg (Deprecated)",Drug,HCPCS,HCPCS,,J2275,19930101,20141231,
2718502,"Injection, nalbuphine hydrochloride, per 10 mg",Drug,HCPCS,HCPCS,,J2300,19960101,20991231,
2718514,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Drug,HCPCS,HCPCS,,J2353,20040101,20991231,
2718517,"Injection, omalizumab, 5 mg",Drug,HCPCS,HCPCS,,J2357,20050101,20991231,
2718519,"Injection, phenylephrine hcl, up to 1 ml (Deprecated)",Drug,HCPCS,HCPCS,,J2370,19820101,20230630,
2718520,"Injection, chloroprocaine hydrochloride, per 30 ml (Deprecated)",Drug,HCPCS,HCPCS,,J2400,19860101,20221231,
2718521,"Injection, ondansetron hydrochloride, per 1 mg",Drug,HCPCS,HCPCS,,J2405,19930101,20991231,
2718525,"Injection, papaverine hcl, up to 60 mg",Drug,HCPCS,HCPCS,,J2440,19860101,20991231,
2718527,"Injection, palonosetron hcl, 25 mcg",Drug,HCPCS,HCPCS,,J2469,20050101,20991231,
2718530,"Injection, paricalcitol, 1 mcg",Drug,HCPCS,HCPCS,,J2501,20030101,20991231,
2718533,"Injection, pegfilgrastim, 6 mg (Deprecated)",Drug,HCPCS,HCPCS,,J2505,20040101,20211231,
2718541,"Injection, promethazine hcl, up to 50 mg",Drug,HCPCS,HCPCS,,J2550,19820101,20991231,
2718552,"Injection, neostigmine methylsulfate, up to 0.5 mg",Drug,HCPCS,HCPCS,,J2710,19820101,20991231,
2718558,"Injection, metoclopramide hcl, up to 10 mg",Drug,HCPCS,HCPCS,,J2765,19820101,20991231,
2718560,"Injection, ranibizumab, 0.1 mg",Drug,HCPCS,HCPCS,,J2778,20080101,20991231,
2718561,"Injection, ranitidine hydrochloride, 25 mg",Drug,HCPCS,HCPCS,,J2780,20000101,20991231,
2718563,"Injection, regadenoson, 0.1 mg",Drug,HCPCS,HCPCS,,J2785,20090101,20991231,
2718569,"Injection, ropivacaine hydrochloride, 1 mg",Drug,HCPCS,HCPCS,,J2795,20010101,20991231,
2718571,"Injection, sincalide, 5 micrograms",Drug,HCPCS,HCPCS,,J2805,20060101,20991231,
2718573,"Injection, sargramostim (gm-csf), 50 mcg",Drug,HCPCS,HCPCS,,J2820,19820101,20991231,
2718579,"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg",Drug,HCPCS,HCPCS,,J2916,20030101,20991231,
2718580,"Injection, methylprednisolone sodium succinate, up to 40 mg",Drug,HCPCS,HCPCS,,J2920,19820101,20991231,
2718581,"Injection, methylprednisolone sodium succinate, up to 125 mg",Drug,HCPCS,HCPCS,,J2930,19840101,20991231,
2718590,"Injection, alteplase recombinant, 1 mg",Drug,HCPCS,HCPCS,,J2997,20010101,20991231,
2718593,"Injection, fentanyl citrate, 0.1 mg",Drug,HCPCS,HCPCS,,J3010,19820101,20991231,
2718602,"Injection, testosterone enanthate, up to 200 mg (Deprecated)",Drug,HCPCS,HCPCS,,J3130,19820101,20141231,
2718605,"Injection, chlorpromazine hcl, up to 50 mg",Drug,HCPCS,HCPCS,,J3230,19820101,20991231,
2718607,"Injection, tigecycline, 1 mg",Drug,HCPCS,HCPCS,,J3243,20070101,20991231,
2718617,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",Drug,HCPCS,HCPCS,,J3301,19910101,20991231,
2718619,"Injection, triamcinolone hexacetonide, per 5 mg",Drug,HCPCS,HCPCS,,J3303,19910101,20991231,
2718622,"Injection, triptorelin pamoate, 3.75 mg",Drug,HCPCS,HCPCS,,J3315,20030101,20991231,
2718626,"Injection, diazepam, up to 5 mg",Drug,HCPCS,HCPCS,,J3360,19820101,20991231,
2718629,"Injection, vancomycin hcl, 500 mg",Drug,HCPCS,HCPCS,,J3370,19860101,20991231,
2718634,"Injection, hydroxyzine hcl, up to 25 mg",Drug,HCPCS,HCPCS,,J3410,19820101,20991231,
2718635,"Injection, thiamine hcl, 100 mg",Drug,HCPCS,HCPCS,,J3411,20040101,20991231,
2718637,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",Drug,HCPCS,HCPCS,,J3420,19860101,20991231,
2718638,"Injection, phytonadione (vitamin k), per 1 mg",Drug,HCPCS,HCPCS,,J3430,19820101,20991231,
2718641,"Injection, hyaluronidase, up to 150 units",Drug,HCPCS,HCPCS,,J3470,19820101,20991231,
2718645,"Injection, magnesium sulfate, per 500 mg",Drug,HCPCS,HCPCS,,J3475,19960101,20991231,
2718646,"Injection, potassium chloride, per 2 meq",Drug,HCPCS,HCPCS,,J3480,19960101,20991231,
2718649,"Injection, zoledronic acid (zometa), 1 mg (Deprecated)",Drug,HCPCS,HCPCS,,J3487,20120101,20131231,
2718650,"Injection, zoledronic acid (reclast), 1 mg (Deprecated)",Drug,HCPCS,HCPCS,,J3488,20120101,20131231,
2718657,"Infusion, normal saline solution , 1000 cc",Drug,HCPCS,HCPCS,,J7030,19820101,20991231,
2718658,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",Drug,HCPCS,HCPCS,,J7040,19840101,20991231,
2718659,5% dextrose/normal saline (500 ml = 1 unit),Drug,HCPCS,HCPCS,,J7042,19840101,20991231,
2718660,"Infusion, normal saline solution, 250 cc",Drug,HCPCS,HCPCS,,J7050,19820101,20991231,
2718662,5% dextrose/water (500 ml = 1 unit),Drug,HCPCS,HCPCS,,J7060,19850101,20991231,
2718666,"Ringers lactate infusion, up to 1000 cc",Drug,HCPCS,HCPCS,,J7120,19820101,20991231,
2718671,"Factor viia (antihemophilic factor, recombinant), (novoseven rt), 1 microgram",Drug,HCPCS,HCPCS,,J7189,20060101,20991231,
2718674,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Drug,HCPCS,HCPCS,,J7192,19940101,20991231,
2718683,"Levonorgestrel-releasing intrauterine contraceptive system, 52 mg (Deprecated)",Drug,HCPCS,HCPCS,,J7302,20020101,20151231,
2718697,"Hyaluronan or derivative, hyalgan, supartz or visco-3, for intra-articular injection, per dose",Drug,HCPCS,HCPCS,,J7321,20080101,20991231,
2718698,"Hyaluronan or derivative, hymovis, for intra-articular injection, 1 mg",Drug,HCPCS,HCPCS,,J7322,20170101,20991231,
2718699,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose",Drug,HCPCS,HCPCS,,J7323,20080101,20991231,
2718700,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose",Drug,HCPCS,HCPCS,,J7324,20080101,20991231,
40663578,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",Drug,HCPCS,HCPCS,,J7325,20100101,20991231,
2718720,"Tacrolimus, immediate release, oral, 1 mg",Drug,HCPCS,HCPCS,,J7507,19950101,20991231,
2718726,"Cyclosporine, oral, 25 mg",Drug,HCPCS,HCPCS,,J7515,20000101,20991231,
2718734,"ALBUTEROL, ALL FORMULATIONS INCLUDING SEPARATED ISOMERS, INHALATION SOLUTION, FDA-APPROVED FINAL PRODUCT, NON-COMPOUNDED, ADMINISTERED THROUGH DME, UNIT DOSE, PER 1 MG (ALBUTEROL) OR PER 0.5 MG (LEVALBUTEROL) (Deprecated)",Drug,HCPCS,HCPCS,,J7603,19700101,20130828,
2718743,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Drug,HCPCS,HCPCS,,J7612,20050101,20991231,
2718751,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Drug,HCPCS,HCPCS,,J7620,20060101,20991231,
2718775,"Ipratropium bromide, inhalation solution, compounded product, administered through dme, unit dose form, per milligram",Drug,HCPCS,HCPCS,,J7645,20070101,20991231,
2718814,"Dexamethasone, oral, 0.25 mg",Drug,HCPCS,HCPCS,,J8540,20060101,20991231,
2718825,"Injection, doxorubicin hydrochloride, all lipid formulations, 10 mg (Deprecated)",Drug,HCPCS,HCPCS,,J9001,20120101,20121231,
2718830,"Injection, azacitidine, 1 mg",Drug,HCPCS,HCPCS,,J9025,20060101,20991231,
2718832,Bcg (intravesical) per instillation (Deprecated),Drug,HCPCS,HCPCS,,J9031,19910101,20190630,
2718834,"Injection, bevacizumab, 10 mg",Drug,HCPCS,HCPCS,,J9035,20050101,20991231,
2718836,"Injection, bortezomib, 0.1 mg",Drug,HCPCS,HCPCS,,J9041,20050101,20991231,
2718837,"Injection, carboplatin, 50 mg",Drug,HCPCS,HCPCS,,J9045,19900101,20991231,
2718839,"Injection, cetuximab, 10 mg",Drug,HCPCS,HCPCS,,J9055,20050101,20991231,
2718840,"Injection, cisplatin, powder or solution, 10 mg",Drug,HCPCS,HCPCS,,J9060,19840101,20991231,
2718841,"Cisplatin, 50 mg (Deprecated)",Drug,HCPCS,HCPCS,,J9062,19700101,20141111,
2718843,"Cyclophosphamide, 100 mg",Drug,HCPCS,HCPCS,,J9070,19840101,20991231,
2718847,"Cyclophosphamide, 2.0 gram (Deprecated)",Drug,HCPCS,HCPCS,,J9092,19700101,20141111,
2718863,"INJECTION, DOCETAXEL, 20 MG (Deprecated)",Drug,HCPCS,HCPCS,,J9170,19700101,20140101,
40664358,"Injection, docetaxel, 1 mg",Drug,HCPCS,HCPCS,,J9171,20100101,20991231,
2718867,"Injection, etoposide, 10 mg",Drug,HCPCS,HCPCS,,J9181,19870101,20991231,
2718868,"ETOPOSIDE, 100 MG (Deprecated)",Drug,HCPCS,HCPCS,,J9182,19700101,20130828,
2718869,"Injection, fludarabine phosphate, 50 mg",Drug,HCPCS,HCPCS,,J9185,19940101,20991231,
2718870,"Injection, fluorouracil, 500 mg",Drug,HCPCS,HCPCS,,J9190,19840101,20991231,
2718872,"Injection, gemcitabine hydrochloride, not otherwise specified, 200 mg",Drug,HCPCS,HCPCS,,J9201,19980101,20991231,
2718874,"Injection, irinotecan, 20 mg",Drug,HCPCS,HCPCS,,J9206,19980101,20991231,
2718881,"Injection, interferon, alfa-2b, recombinant, 1 million units",Drug,HCPCS,HCPCS,,J9214,19930101,20991231,
2718884,"Leuprolide acetate (for depot suspension), 7.5 mg",Drug,HCPCS,HCPCS,,J9217,19910101,20991231,
2718887,"Histrelin implant (vantas), 50 mg",Drug,HCPCS,HCPCS,,J9225,20060101,20991231,
2718891,"Methotrexate sodium, 5 mg",Drug,HCPCS,HCPCS,,J9250,19940101,20991231,
2718892,"Methotrexate sodium, 50 mg",Drug,HCPCS,HCPCS,,J9260,19840101,20991231,
2718894,"Injection, oxaliplatin, 0.5 mg",Drug,HCPCS,HCPCS,,J9263,20040101,20991231,
2718895,"Injection, paclitaxel protein-bound particles, 1 mg",Drug,HCPCS,HCPCS,,J9264,20060101,20991231,
2718896,"Injection, paclitaxel, 30 mg (Deprecated)",Drug,HCPCS,HCPCS,,J9265,19940101,20141231,
2718900,"Injection, mitomycin, 5 mg",Drug,HCPCS,HCPCS,,J9280,19860101,20991231,
2718905,"Injection, panitumumab, 10 mg",Drug,HCPCS,HCPCS,,J9303,20080101,20991231,
2718906,"Injection, pemetrexed, not otherwise specified, 10 mg",Drug,HCPCS,HCPCS,,J9305,20050101,20991231,
2718907,"Injection, rituximab, 100 mg (Deprecated)",Drug,HCPCS,HCPCS,,J9310,19990101,20181231,
2718912,"Injection, trastuzumab, excludes biosimilar, 10 mg",Drug,HCPCS,HCPCS,,J9355,20000101,20991231,
2718918,"Injection, vinorelbine tartrate, 10 mg",Drug,HCPCS,HCPCS,,J9390,19960101,20991231,
2718919,"Injection, fulvestrant, 25 mg",Drug,HCPCS,HCPCS,,J9395,20040101,20991231,
2718921,"Not otherwise classified, antineoplastic drugs",Procedure,HCPCS,HCPCS,,J9999,19860101,20991231,
2720546,"Infusion, albumin (human), 25%, 50 ml",Drug,HCPCS,HCPCS,,P9047,20020101,20991231,
2720611,"Hydroxyzine pamoate, 25 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Drug,HCPCS,HCPCS,,Q0177,19980401,20991231,
2720613,"Ondansetron hydrochloride 8 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen (Deprecated)",Drug,HCPCS,HCPCS,,Q0179,19980401,20111231,
2720773,"Injection, epoetin alfa, 100 units (for esrd on dialysis)",Drug,HCPCS,HCPCS,,Q4081,20070101,20991231,
2720860,"Injection, perflutren lipid microspheres, per ml",Device,HCPCS,HCPCS,S,Q9957,20050401,20991231,
2718911,"Injection, topotecan, 4 mg",Drug,HCPCS,HCPCS,,J9350,19700101,20141111,
2718651,Unclassified drugs,Procedure,HCPCS,HCPCS,S,J3490,19860101,20991231,
2718656,Unclassified biologics,Procedure,HCPCS,HCPCS,S,J3590,20030101,20991231,
2718805,"Noc drugs, other than inhalation drugs, administered through dme",Procedure,HCPCS,HCPCS,S,J7799,19930101,20991231,
2718807,"Prescription drug, oral, non chemotherapeutic, nos",Procedure,HCPCS,HCPCS,S,J8499,19950101,20991231,
44832030,Salmonella pneumonia,Condition,ICD9CM,5-dig billing code,,003.22,19700101,20991231,
44823969,Unspecified septicemia,Condition,ICD9CM,4-dig billing code,,038.9,19700101,20991231,
44834533,Benign neoplasm of retina,Condition,ICD9CM,4-dig billing code,,224.5,19700101,20991231,
44837045,Diplopia,Condition,ICD9CM,4-dig billing code,,368.2,19700101,20991231,
44824209,Aphakia,Condition,ICD9CM,5-dig billing code,,379.31,19700101,20991231,
44833572,Other premature beats,Condition,ICD9CM,5-dig billing code,,427.69,19700101,20991231,
44828984,Moyamoya disease,Condition,ICD9CM,4-dig billing code,,437.5,19700101,20991231,
44824468,Carbuncle and furuncle of foot,Condition,ICD9CM,4-dig billing code,,680.7,19700101,20991231,
44824469,Felon,Condition,ICD9CM,5-dig billing code,,681.01,19700101,20991231,
44829193,Arthropathy associated with neurological disorders,Condition,ICD9CM,4-dig billing code,,713.5,19700101,20991231,
44837345,"Unspecified intrapelvic protrusion of acetabulum, site unspecified",Condition,ICD9CM,ICD9CM code,,718.60,19700101,20140930,D
44830336,"Contracture of joint, upper arm",Condition,ICD9CM,5-dig billing code,,718.42,19700101,20991231,
44835015,Nontraumatic compartment syndrome of abdomen,Condition,ICD9CM,5-dig billing code,,729.73,19700101,20991231,
44824616,Coma,Condition,ICD9CM,5-dig billing code,,780.01,19700101,20991231,
44830517,Sprain of tarsometatarsal (joint) (ligament) of foot,Condition,ICD9CM,5-dig billing code,,845.11,19700101,20991231,
44820423,Problems with smell and taste,Condition,ICD9CM,4-dig billing V code,,V41.5,19700101,20991231,
44833334,Multiple myeloma,Condition,ICD9CM,4-dig nonbill code,,203.0,19700101,20991231,
44827608,Neurofibromatosis,Condition,ICD9CM,4-dig nonbill code,,237.7,19700101,20991231,
44822956,Thalassemias,Condition,ICD9CM,4-dig nonbill code,,282.4,19700101,20991231,
44829031,"Partial edentulism, class IV",Condition,ICD9CM,5-dig billing code,,525.54,19700101,20991231,
44830581,Foreign body in mouth,Condition,ICD9CM,4-dig billing code,,935.0,19700101,20991231,
44828783,"Goiter, unspecified",Condition,ICD9CM,4-dig billing code,,240.9,19700101,20991231,
44827764,Pain in or around eye,Condition,ICD9CM,5-dig billing code,,379.91,19700101,20991231,
44821963,Atheroembolism of upper extremity,Condition,ICD9CM,5-dig billing code,,445.01,19700101,20991231,
44819828,Ptosis of breast,Condition,ICD9CM,5-dig billing code,,611.81,19700101,20991231,
44822171,Ritter's disease,Condition,ICD9CM,5-dig billing code,,695.81,19700101,20991231,
44835068,Gonadal dysgenesis,Condition,ICD9CM,4-dig billing code,,758.6,19700101,20991231,
44831727,Crushing injury of hand(s),Condition,ICD9CM,5-dig billing code,,927.20,19700101,20991231,
44821518,Allergy to peanuts,Observation,ICD9CM,5-dig billing V code,,V15.01,19700101,20991231,
